COLLEGE,BRANCH,CATEGORIES,RANKING
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,2AG,475
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,GM,355
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,SCG,670
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,GMR,0
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,SCR,0
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,STG,0
University of Visvesvaraya College of Engineering,CE Civil,2AG,487
University of Visvesvaraya College of Engineering,CE Civil,GM,370
University of Visvesvaraya College of Engineering,CE Civil,SCG,1617
University of Visvesvaraya College of Engineering,CE Civil,GMR,529
University of Visvesvaraya College of Engineering,CE Civil,SCR,1708
University of Visvesvaraya College of Engineering,CE Civil,STG,3236
University of Visvesvaraya College of Engineering,CS Computers,2AG,95
University of Visvesvaraya College of Engineering,CS Computers,GM,71
University of Visvesvaraya College of Engineering,CS Computers,SCG,369
University of Visvesvaraya College of Engineering,CS Computers,GMR,0
University of Visvesvaraya College of Engineering,CS Computers,SCR,0
University of Visvesvaraya College of Engineering,CS Computers,STG,568
University of Visvesvaraya College of Engineering,EC Electronics,2AG,358
University of Visvesvaraya College of Engineering,EC Electronics,GM,261
University of Visvesvaraya College of Engineering,EC Electronics,SCG,822
University of Visvesvaraya College of Engineering,EC Electronics,GMR,464
University of Visvesvaraya College of Engineering,EC Electronics,SCR,1758
University of Visvesvaraya College of Engineering,EC Electronics,STG,0
University of Visvesvaraya College of Engineering,EE Electrical,2AG,338
University of Visvesvaraya College of Engineering,EE Electrical,GM,321
University of Visvesvaraya College of Engineering,EE Electrical,SCG,517
University of Visvesvaraya College of Engineering,EE Electrical,GMR,0
University of Visvesvaraya College of Engineering,EE Electrical,SCR,0
University of Visvesvaraya College of Engineering,EE Electrical,STG,691
University of Visvesvaraya College of Engineering,ME Mechanical,2AG,1078
University of Visvesvaraya College of Engineering,ME Mechanical,GM,685
University of Visvesvaraya College of Engineering,ME Mechanical,SCG,1699
University of Visvesvaraya College of Engineering,ME Mechanical,GMR,773
University of Visvesvaraya College of Engineering,ME Mechanical,SCR,0
University of Visvesvaraya College of Engineering,ME Mechanical,STG,2696
R. V. College of Engineering,AI Artificial Intelligence,2AG,147
R. V. College of Engineering,AI Artificial Intelligence,GM,110
R. V. College of Engineering,AI Artificial Intelligence,SCG,641
R. V. College of Engineering,AI Artificial Intelligence,GMR,0
R. V. College of Engineering,AI Artificial Intelligence,SCR,0
R. V. College of Engineering,AI Artificial Intelligence,STG,1084
R. V. College of Engineering,CE Civil,2AG,0
R. V. College of Engineering,CE Civil,GM,234
R. V. College of Engineering,CE Civil,SCG,0
R. V. College of Engineering,CE Civil,GMR,0
R. V. College of Engineering,CE Civil,SCR,0
R. V. College of Engineering,CE Civil,STG,3856
R. V. College of Engineering,CS Computers,2AG,28
R. V. College of Engineering,CS Computers,GM,15
R. V. College of Engineering,CS Computers,SCG,61
R. V. College of Engineering,CS Computers,GMR,132
R. V. College of Engineering,CS Computers,SCR,826
R. V. College of Engineering,CS Computers,STG,235
R. V. College of Engineering,EC Electronics,2AG,138
R. V. College of Engineering,EC Electronics,GM,57
R. V. College of Engineering,EC Electronics,SCG,158
R. V. College of Engineering,EC Electronics,GMR,231
R. V. College of Engineering,EC Electronics,SCR,763
R. V. College of Engineering,EC Electronics,STG,345
R. V. College of Engineering,EE Electrical,2AG,100
R. V. College of Engineering,EE Electrical,GM,84
R. V. College of Engineering,EE Electrical,SCG,123
R. V. College of Engineering,EE Electrical,GMR,0
R. V. College of Engineering,EE Electrical,SCR,0
R. V. College of Engineering,EE Electrical,STG,0
R. V. College of Engineering,ME Mechanical,2AG,346
R. V. College of Engineering,ME Mechanical,GM,192
R. V. College of Engineering,ME Mechanical,SCG,362
R. V. College of Engineering,ME Mechanical,GMR,541
R. V. College of Engineering,ME Mechanical,SCR,0
R. V. College of Engineering,ME Mechanical,STG,701
Dayananda Sagar College of Engineering,AI Artificial Intelligence,2AG,695
Dayananda Sagar College of Engineering,AI Artificial Intelligence,GM,684
Dayananda Sagar College of Engineering,AI Artificial Intelligence,SCG,1640
Dayananda Sagar College of Engineering,AI Artificial Intelligence,GMR,1124
Dayananda Sagar College of Engineering,AI Artificial Intelligence,SCR,0
Dayananda Sagar College of Engineering,AI Artificial Intelligence,STG,0
Dayananda Sagar College of Engineering,CE Civil,2AG,2403
Dayananda Sagar College of Engineering,CE Civil,GM,1531
Dayananda Sagar College of Engineering,CE Civil,SCG,2916
Dayananda Sagar College of Engineering,CE Civil,GMR,1800
Dayananda Sagar College of Engineering,CE Civil,SCR,3524
Dayananda Sagar College of Engineering,CE Civil,STG,4147
Dayananda Sagar College of Engineering,CS Computers,2AG,484
Dayananda Sagar College of Engineering,CS Computers,GM,439
Dayananda Sagar College of Engineering,CS Computers,SCG,1497
Dayananda Sagar College of Engineering,CS Computers,GMR,535
Dayananda Sagar College of Engineering,CS Computers,SCR,1962
Dayananda Sagar College of Engineering,CS Computers,STG,1930
Dayananda Sagar College of Engineering,EC Electronics,2AG,765
Dayananda Sagar College of Engineering,EC Electronics,GM,609
Dayananda Sagar College of Engineering,EC Electronics,SCG,2227
Dayananda Sagar College of Engineering,EC Electronics,GMR,803
Dayananda Sagar College of Engineering,EC Electronics,SCR,3219
Dayananda Sagar College of Engineering,EC Electronics,STG,1407
Dayananda Sagar College of Engineering,EE Electrical,2AG,736
Dayananda Sagar College of Engineering,EE Electrical,GM,709
Dayananda Sagar College of Engineering,EE Electrical,SCG,885
Dayananda Sagar College of Engineering,EE Electrical,GMR,0
Dayananda Sagar College of Engineering,EE Electrical,SCR,0
Dayananda Sagar College of Engineering,EE Electrical,STG,1804
Dayananda Sagar College of Engineering,ME Mechanical,2AG,2719
Dayananda Sagar College of Engineering,ME Mechanical,GM,1861
Dayananda Sagar College of Engineering,ME Mechanical,SCG,2868
Dayananda Sagar College of Engineering,ME Mechanical,GMR,0
Dayananda Sagar College of Engineering,ME Mechanical,SCR,0
Dayananda Sagar College of Engineering,ME Mechanical,STG,4337
