,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2019 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,,
1,E001,University Visveswariah College of Engineering,,,,,Bangalore,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AR Architecture,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,--,--,--,--,--,--,--,--
CE Civil,,--,--,--,343,--,--,--,--,--,--,--,--,408,--,--,211,297,--,391,--,1433,--,--,--
CS Computers,,255,--,--,128,--,--,--,--,--,--,--,--,--,--,--,69,--,261,663,--,--,--,--,--
EC Electronics,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,94,--,--,--,1202,--,239,--,--
EE Electrical,,--,--,--,511,--,1172,926,--,--,--,--,--,--,--,--,220,--,--,303,--,--,--,--,--
IE Info.Science,,--,--,--,--,--,--,--,--,--,932,--,--,--,--,--,389,--,675,1162,--,--,--,--,--
ME Mechanical,,--,--,--,114,--,--,--,--,--,--,--,--,119,--,--,113,--,263,398,--,--,--,--,--
2,E002,S K S J T Institute of Engineering.,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1164,--,1231,1259,--,--,--,--,--
CS Computers,,--,--,--,2960,--,--,--,--,--,--,--,3772,--,--,--,2534,--,--,4547,--,--,--,--,--
EC Electronics,,--,--,--,1962,--,--,--,--,--,--,--,--,--,--,--,1570,2011,--,--,--,--,--,--,--
ST Silk Tech.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
TX Textiles,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15821,--,--,--,--,--,--,--,--
3,E003,B M S College of Engineering,,"Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,24,--,359,--,--,--,--,--,--,--,--,--,11,--,--,415,--,--,--,--,--
EC Electronics,,--,--,--,103,--,262,--,--,--,--,--,--,--,--,--,43,--,--,206,--,--,--,--,--
EE Electrical,,--,--,--,--,860,--,--,--,--,--,--,--,--,--,--,55,--,--,--,--,--,757,--,--
IM Ind. Engg.,,--,--,--,2838,--,--,--,--,--,--,--,--,3998,--,--,1653,--,--,11492,--,--,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,--,--,546,--,--,--,74,--,--,172,--,--,--,--,--,57,--,--,--,--,--,--,--,--
4,E004,Dr. Ambedkar Institute Of Technology,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,832,--,--,--,--,--,--,--,--,941,--,--,726,--,736,1731,--,--,--,--,--
CS Computers,,--,--,--,1544,--,--,--,--,--,--,--,--,--,--,--,1365,--,1396,1825,--,--,--,--,--
EC Electronics,,1899,--,--,1594,--,--,--,--,--,--,--,--,1644,--,--,1514,--,1541,1685,3004,--,--,--,--
EE Electrical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2461,1349,--,--,--,--,--,2763,--,--
EI Elec. Inst.,,--,--,--,11434,--,--,--,--,--,--,--,--,--,--,--,10119 11346 12479 13993,,,--,--,--,--,--,
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
IM Ind. Engg.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16274,--,--,--,--,--,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,--,--,--,1269,1636,--,1907,--,--,--,--,--,1497,--,--,995,--,996,1157,--,--,--,--,--
TC Telecommn.,,--,--,--,--,--,--,--,--,--,12184,--,--,--,--,--,9357,--,--,--,--,--,--,--,--
5,E005,R. V. College of Engineering,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
BT Bio Technology,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,,104,--,--,337,--,--,--,--,--,--,--,--,--,--,--,56,152,160,365,--,--,--,--,--
CH Chemical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16041,--,--,--,--,--,--,--,--
CS Computers,,278,--,--,111,--,204,--,--,--,--,--,--,136,--,--,81,--,137,445,758,--,--,--,--
EC Electronics,,--,--,--,194,--,--,246,--,--,--,--,--,76,--,--,62,68,138,1052,--,1428,--,--,--
EE Electrical,,--,--,--,320,--,1089,--,--,--,--,--,--,--,--,--,252,--,--,1115,--,--,--,--,--
EI Elec. Inst.,,--,--,--,--,--,--,3315,--,--,3158,--,--,--,--,--,1280,--,1641,--,--,--,--,--,--
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,--,--,--,--,--,--,625,--,--,747,--,--,--,--,2027,258,--,--,--,--,--,--,--,--
IM Ind. Engg.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2804,--,3877,--,--,13329,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,82,--,--,59,100,--,--,--,--,--,--,--,49,--,--,18,--,50,133,--,--,--,--,--
SE Aero Space,,--,--,--,4757,--,--,--,--,--,--,--,--,--,--,--,576,--,2201,2927,--,--,--,--,--
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
TC Telecommn.,,2944,--,--,--,--,--,--,--,--,--,--,--,--,--,--,717,--,--,--,--,--,3675,--,--
